diagnostico,condition_id,especialidad,nivel_urgencia
Tinea corporis,c_833,Clínica Médica,Consulta
Lipoma,c_834,Clínica Médica,Consulta
Tinea capitis,c_835,Clínica Médica,Consulta
Ingrown fingernail,c_836,Clínica Médica,Consulta
Cold urticaria,c_837,Dermatología,Consulta
Leukoplakia,c_841,Clínica Médica,Consulta
Frostbite,c_842,Clínica Médica,Consulta
Diaper dermatitis,c_844,Dermatología,Consulta
Burn,c_845,Clínica Médica,Consulta
Corns and callosities,c_847,Clínica Médica,Consulta
Milia,c_848,Clínica Médica,Consulta
Rosacea,c_849,Clínica Médica,Consulta
Tinea pedis,c_857,Clínica Médica,Consulta
Autism spectrum disorder,c_863,Clínica Médica,Consulta
Anal fistula,c_866,Clínica Médica,Consulta
Adenomyosis,c_868,Clínica Médica,Consulta
Benign paroxysmal positional vertigo,c_871,Clínica Médica,Consulta
Ampullary cancer,c_874,Clínica Médica,Consulta
Pelvic organ prolapse,c_880,Clínica Médica,Consulta
Thoracic aortic dissection,c_884,Clínica Médica,Emergencia
Abdominal aortic dissection,c_885,Clínica Médica,Emergencia
Foreign body aspiration,c_887,Clínica Médica,Consulta
Onychomycosis,c_888,Clínica Médica,Consulta
Rib fracture,c_889,Traumatología,Urgente
Decompression sickness,c_891,Clínica Médica,Consulta
Keratitis,c_892,Clínica Médica,Consulta
Epicondylitis,c_894,Clínica Médica,Consulta
Heart valve disease,c_897,Cardiología,Consulta
Cervical acceleration-deceleration syndrome,c_899,Clínica Médica,Consulta
Chikungunya virus infection,c_902,Infectología,Urgente
Zika virus infection,c_906,Infectología,Urgente
Baker's cyst,c_910,Clínica Médica,Consulta
Tinea cruris,c_912,Clínica Médica,Consulta
Functional ovarian cyst,c_915,Clínica Médica,Consulta
Ganglion cyst,c_917,Clínica Médica,Consulta
Hyperprolactinemia,c_920,Clínica Médica,Consulta
Hyperemesis gravidarum,c_921,Clínica Médica,Consulta
Painful ovulation,c_923,Clínica Médica,Consulta
Placenta previa,c_924,Clínica Médica,Consulta
Threatened miscarriage,c_925,Clínica Médica,Consulta
ACE inhibitor-induced cough,c_926,Clínica Médica,Consulta
De Quervain syndrome,c_927,Clínica Médica,Consulta
Atrophic vaginitis,c_928,Clínica Médica,Consulta
Rotator cuff syndrome,c_931,Clínica Médica,Consulta
Shoulder bursitis,c_932,Clínica Médica,Consulta
Olecranon bursitis,c_937,Clínica Médica,Consulta
Greater trochanteric pain syndrome,c_938,Clínica Médica,Consulta
Patellofemoral pain syndrome,c_939,Clínica Médica,Consulta
Endometrial polyp,c_940,Clínica Médica,Consulta
Ulnar nerve syndrome,c_946,Clínica Médica,Consulta
Adhesive capsulitis of shoulder,c_947,Clínica Médica,Consulta
Shoulder impingement syndrome,c_948,Clínica Médica,Consulta
Peroneal mononeuropathy,c_949,Neurología,Consulta
Radial nerve neuropathy,c_950,Neurología,Consulta
Choledocholithiasis,c_952,Clínica Médica,Consulta
Psoriatic arthritis,c_953,Reumatología,Consulta
Piriformis syndrome,c_954,Clínica Médica,Consulta
Hypovolemic shock,c_956,Clínica Médica,Emergencia
Periorbital cellulitis,c_957,Clínica Médica,Consulta
Genital injury,c_960,Traumatología,Consulta
Sunburn,c_962,Clínica Médica,Consulta
Dental trauma,c_963,Traumatología,Consulta
"Diarrhea, unspecified",c_965,Gastroenterología,Consulta
"Vomiting, unspecified",c_966,Gastroenterología,Consulta
"Disorder of the skin and subcutaneous tissue, unspecified",c_967,Dermatología,Consulta
"Abdominal pain, unspecified",c_969,Clínica Médica,Consulta
Suspicious mole,c_970,Clínica Médica,Consulta
"Cough, unspecified",c_971,Clínica Médica,Consulta
Asthma exacerbation,c_972,Neumonología,Consulta
Chronic obstructive pulmonary disease exacerbation,c_973,Clínica Médica,Consulta
Cervical strain,c_975,Clínica Médica,Consulta
Ingrown toenail,c_978,Clínica Médica,Consulta
Nail injury,c_979,Traumatología,Consulta
Reflex syncope,c_980,Clínica Médica,Consulta
Mechanical back pain,c_981,Clínica Médica,Consulta
Labour,c_982,Clínica Médica,Consulta
Epistaxis,c_983,Clínica Médica,Consulta
Minor head injury,c_984,Traumatología,Consulta
Eclampsia,c_985,Clínica Médica,Consulta
HELLP syndrome,c_986,Clínica Médica,Consulta
Anorectal abscess,c_988,Clínica Médica,Urgente
Placental abruption,c_989,Clínica Médica,Consulta
Intra-amniotic infection,c_990,Infectología,Urgente
Edema in pregnancy,c_991,Obstetricia,Consulta
Gambling addiction,c_992,Clínica Médica,Consulta
Hypertensive urgency,c_995,Clínica Médica,Consulta
Acute angle-closure glaucoma,c_996,Oftalmología,Emergencia
Open-angle glaucoma,c_997,Oftalmología,Emergencia
Dry eye disease,c_998,Oftalmología,Consulta
Bruxism,c_999,Clínica Médica,Consulta
Cryptorchidism,c_1000,Clínica Médica,Consulta
Chronic heart failure,c_1003,Cardiología,Emergencia
Erythema infectiosum,c_1004,Clínica Médica,Consulta
Acute heart failure,c_1005,Cardiología,Emergencia
Hemangioma,c_1006,Clínica Médica,Consulta
Umbilical hernia,c_1007,Clínica Médica,Consulta
Miliaria,c_1008,Clínica Médica,Consulta
Finger fracture,c_1012,Traumatología,Urgente
Patella fracture,c_1013,Traumatología,Urgente
Tibiofibular fracture,c_1014,Traumatología,Urgente
Facial bones fracture,c_1015,Traumatología,Urgente
Hand bones fracture,c_1016,Traumatología,Urgente
Skull fracture,c_1018,Traumatología,Urgente
Foot bones fracture,c_1019,Traumatología,Urgente
Pelvis fracture,c_1020,Traumatología,Urgente
Scapula fracture,c_1021,Traumatología,Urgente
Lumbar vertebra fracture,c_1022,Traumatología,Urgente
Thoracic vertebra fracture,c_1023,Traumatología,Urgente
Cervical vertebra fracture,c_1024,Traumatología,Urgente
Elbow dislocation,c_1025,Clínica Médica,Consulta
Ankle joint dislocation,c_1026,Traumatología,Consulta
Wrist dislocation,c_1027,Clínica Médica,Consulta
Shoulder dislocation,c_1028,Clínica Médica,Consulta
Finger dislocation,c_1029,Clínica Médica,Consulta
Knee dislocation,c_1030,Clínica Médica,Consulta
Hip dislocation,c_1031,Clínica Médica,Consulta
Toe dislocation,c_1032,Clínica Médica,Consulta
Sprained finger,c_1034,Traumatología,Consulta
Forearm contusion,c_1035,Traumatología,Consulta
"Upper limb injury, unspecified location",c_1036,Traumatología,Consulta
Shoulder contusion,c_1037,Traumatología,Consulta
"Lower limb injury, unspecified location",c_1038,Traumatología,Consulta
Arm contusion,c_1039,Traumatología,Consulta
"Head or neck injury, unspecified location",c_1040,Traumatología,Consulta
Elbow contusion,c_1041,Traumatología,Consulta
Wrist or hand contusion,c_1043,Traumatología,Consulta
Finger contusion,c_1044,Traumatología,Consulta
Toe contusion,c_1045,Traumatología,Consulta
Facial contusion,c_1046,Traumatología,Consulta
Hip contusion,c_1047,Traumatología,Consulta
Thigh contusion,c_1048,Traumatología,Consulta
Ankle contusion,c_1049,Traumatología,Consulta
Back or pelvic contusion,c_1050,Traumatología,Consulta
Clavicle fracture,c_1051,Traumatología,Urgente
"Trunk injury, unspecified location",c_1052,Traumatología,Consulta
"Limb injury, unspecified location",c_1053,Traumatología,Consulta
External ear injury,c_1054,Traumatología,Consulta
Femur fracture,c_1055,Traumatología,Urgente
Foot contusion,c_1056,Traumatología,Consulta
Forearm bones fracture,c_1057,Traumatología,Urgente
Mandible fracture,c_1060,Traumatología,Urgente
Thorax contusion,c_1061,Traumatología,Consulta
Toe fracture,c_1062,Traumatología,Urgente
Physical injury of unknown location,c_1065,Traumatología,Consulta
Humerus fracture,c_1070,Traumatología,Urgente
Cholestasis of pregnancy,c_1071,Obstetricia,Consulta
"Visual disturbance, unspecified",c_1073,Clínica Médica,Consulta
Epilepsy without loss of consciousness,c_1074,Neurología,Consulta
Epilepsy with loss of consciousness,c_1075,Neurología,Consulta
Viral gastroenteritis,c_1076,Gastroenterología,Consulta
Bacterial gastroenteritis,c_1077,Gastroenterología,Consulta
Epiglottitis,c_1078,Clínica Médica,Consulta
"Joint pain, unspecified",c_1083,Traumatología,Consulta
Acute bronchiolitis,c_1084,Clínica Médica,Consulta
Febrile seizures,c_1086,Neurología,Consulta
Hand foot and mouth disease,c_1087,Clínica Médica,Consulta
Infantile colic,c_1088,Clínica Médica,Consulta
Teething,c_1090,Clínica Médica,Consulta
Cradle cap,c_1091,Clínica Médica,Consulta
Hyperbilirubinemia of the newborn,c_1092,Clínica Médica,Consulta
Necrotizing enterocolitis,c_1093,Gastroenterología,Consulta
Thalassemia,c_1094,Clínica Médica,Consulta
Blunt abdominal trauma,c_1095,Traumatología,Consulta
Penetrating abdominal trauma,c_1096,Traumatología,Consulta
Acute lower limb ischemia,c_1097,Clínica Médica,Consulta
Acute stress reaction,c_1098,Clínica Médica,Consulta
Acute upper limb ischemia,c_1099,Clínica Médica,Consulta
Psoriasis exacerbation,c_1100,Dermatología,Consulta
Chlamydial genitourinary infection,c_1101,Infectología,Urgente
Unstable tachyarrhythmia,c_1103,Cardiología,Consulta
COVID-19,c_1105,Clínica Médica,Consulta
Paraphimosis,c_1106,Clínica Médica,Consulta
Phimosis,c_1107,Clínica Médica,Consulta
Cervical radiculopathy,c_1108,Clínica Médica,Consulta
Electrical injury,c_1109,Traumatología,Consulta
Lip injury,c_1111,Traumatología,Consulta
Chronic urticaria,c_1112,Dermatología,Consulta
Neonatal conjunctivitis,c_1114,Clínica Médica,Consulta
Nursing blister,c_1115,Clínica Médica,Consulta
Croup,c_1116,Clínica Médica,Consulta
Infantile hypertrophic pyloric stenosis,c_1117,Clínica Médica,Consulta
Atypical pneumonia,c_1118,Neumonología,Consulta
Congenital syphilis,c_1119,Clínica Médica,Consulta
Dysplasia of the hip,c_1120,Clínica Médica,Consulta
Breast asymmetry in adolescence,c_1121,Clínica Médica,Consulta
Molluscum contagiosum,c_1122,Clínica Médica,Consulta
Abnormal vaginal bleeding in adolescence,c_1123,Clínica Médica,Consulta
Irregular menstruation in adolescence,c_1124,Ginecología,Consulta
Intussusception,c_1125,Clínica Médica,Consulta
Cauda equina syndrome,c_1126,Clínica Médica,Consulta
Unstable bradyarrhythmia,c_1127,Cardiología,Consulta
Stable tachyarrhythmia,c_1128,Cardiología,Consulta
Suicidal tendencies,c_1130,Salud Mental,Consulta
Orbital cellulitis,c_1131,Clínica Médica,Consulta
Kawasaki disease,c_1132,Clínica Médica,Consulta
Congenital heart disease,c_1133,Cardiología,Consulta
Stable bradyarrhythmia,c_1134,Cardiología,Consulta
Growing pains,c_1135,Clínica Médica,Consulta
Supracondylar humerus fracture,c_1136,Traumatología,Urgente
Roseola,c_1137,Clínica Médica,Consulta
Muscular dystrophy,c_1139,Clínica Médica,Consulta
Perthes disease,c_1140,Clínica Médica,Consulta
Vitamin A deficiency,c_1141,Clínica Médica,Consulta
Hemolytic disease of the newborn,c_1142,Clínica Médica,Consulta
Nocturnal enuresis,c_1143,Clínica Médica,Consulta
Hemophilia,c_1145,Hematología,Consulta
Arrhythmia,c_1155,Cardiología,Consulta
Multisystem inflammatory syndrome in children,c_1156,Clínica Médica,Consulta
Vitamin K deficiency bleeding,c_1164,Clínica Médica,Consulta
Acute viral rhinosinusitis,c_1166,Otorrinolaringología,Consulta
Fetal alcohol syndrome,c_1167,Clínica Médica,Consulta
Pilonidal cyst,c_1168,Clínica Médica,Consulta
Conduct disorder,c_1170,Clínica Médica,Consulta
Separation anxiety disorder,c_1171,Salud Mental,Consulta
Acute bacterial rhinosinusitis,c_1172,Otorrinolaringología,Consulta
Primary dysmenorrhoea,c_1173,Clínica Médica,Consulta
Stress fracture of foot,c_1175,Traumatología,Urgente
Stress fracture of lower leg,c_1176,Traumatología,Urgente
Non-traumatic vertebral fracture,c_1177,Traumatología,Urgente
Battered child syndrome,c_1178,Clínica Médica,Consulta
Post-traumatic seizures,c_1179,Traumatología,Consulta
Specific learning disability,c_1180,Otorrinolaringología,Consulta
"Gynecomastia, unspecified",c_1181,Ginecología,Emergencia
Post-COVID-19 syndrome,c_1182,Clínica Médica,Consulta
Herpangina,c_1183,Cardiología,Consulta
Foreign body in nose,c_1184,Clínica Médica,Consulta
Umbilical granuloma,c_1185,Clínica Médica,Consulta
Foreign body in ear,c_1187,Otorrinolaringología,Consulta
Keloid,c_1188,Clínica Médica,Consulta
Erythema toxicum,c_1189,Toxicología,Consulta
Diabetic foot infection,c_1191,Infectología,Urgente
Wound infection,c_1192,Infectología,Urgente
Wound dehiscence,c_1193,Clínica Médica,Consulta
Tonsillar hypertrophy,c_1195,Clínica Médica,Consulta
Dental fluorosis,c_1197,Clínica Médica,Consulta
Pityriasis rosea,c_1200,Clínica Médica,Consulta
Infant dyschezia,c_1201,Clínica Médica,Consulta
Heavy metal poisoning,c_1202,Toxicología,Urgente
Hallux valgus,c_1203,Clínica Médica,Consulta
Delayed onset muscle soreness,c_1204,Clínica Médica,Consulta
Beeturia,c_1205,Clínica Médica,Consulta
Neonatal jitteriness,c_1206,Clínica Médica,Consulta
Crohn's disease exacerbation,c_1208,Clínica Médica,Consulta
Ulcerative colitis exacerbation,c_1209,Gastroenterología,Consulta
Geographic tongue,c_1210,Clínica Médica,Consulta
Dentin hypersensitivity,c_1213,Inmunología Clínica,Consulta
Psychological abuse,c_1214,Salud Mental,Consulta
Erythroderma,c_1216,Clínica Médica,Consulta
Adverse event following immunization,c_1217,Clínica Médica,Consulta
Opioid withdrawal syndrome,c_1218,Clínica Médica,Consulta
Cardiac syncope,c_1219,Clínica Médica,Urgente
Malnutrition,c_1220,Nutrición,Consulta
Erythema nodosum,c_1224,Clínica Médica,Consulta
Trigeminal neuropathy,c_1229,Neurología,Consulta
Narcolepsy,c_1230,Clínica Médica,Consulta
Motion sickness,c_1231,Clínica Médica,Consulta
Sleep related leg cramps,c_1232,Clínica Médica,Consulta
Gastrointestinal complaints after iron intake,c_1234,Gastroenterología,Consulta
Transient watery stools of breastfed,c_1235,Clínica Médica,Consulta
Meteorosensitivity and meteoropathy,c_1236,Clínica Médica,Consulta
Nevus simplex,c_1240,Clínica Médica,Consulta
Frequent sneezing of newborn,c_1241,Clínica Médica,Consulta
Bloating after certain types of food,c_1242,Clínica Médica,Consulta
Hypnic jerks,c_1243,Clínica Médica,Consulta
"Constipation, unspecified",c_1246,Clínica Médica,Consulta
Aphthous stomatitis,c_1248,Clínica Médica,Consulta
Retractile testicle,c_1250,Clínica Médica,Consulta
Nocturnal emission,c_1252,Clínica Médica,Consulta
Plugged milk duct,c_1254,Clínica Médica,Consulta
Severe hypoglycemia,c_1256,Clínica Médica,Urgente
Mild hypoglycemia,c_1257,Clínica Médica,Consulta
Heterochromia,c_1259,Clínica Médica,Consulta
Dental abscess,c_1260,Clínica Médica,Urgente
Symptomatic apical periodontitis,c_1261,Clínica Médica,Consulta
Traumatic oral ulcer,c_1262,Traumatología,Consulta
"Hearing loss, unspecified",c_1263,Fonoaudiología,Consulta
Complicated ovarian cyst,c_1265,Clínica Médica,Consulta
Ovarian torsion,c_1267,Clínica Médica,Emergencia
Oral lichen planus,c_1270,Clínica Médica,Consulta
Recent-onset constipation,c_1272,Clínica Médica,Consulta
Median rhomboid glossitis,c_1275,Clínica Médica,Consulta
Oral mucocele,c_1276,Clínica Médica,Consulta
Acute hepatitis C,c_1279,Gastroenterología,Consulta
Snake bite,c_1281,Clínica Médica,Consulta
Ross River disease,c_1282,Clínica Médica,Consulta
Spider bite,c_1283,Clínica Médica,Consulta
Congenital Zika virus disease,c_1285,Clínica Médica,Consulta
Sexual abuse,c_1286,Clínica Médica,Consulta
Japanese encephalitis,c_1288,Clínica Médica,Consulta
Acute cannabinoid intoxication,c_1291,Toxicología,Urgente
Adenoviral respiratory disease,c_1292,Neumonología,Consulta
Herpetic gingivostomatitis,c_1293,Clínica Médica,Consulta
Trachoma,c_1294,Clínica Médica,Consulta
Chronic heart failure exacerbation,c_1295,Cardiología,Emergencia
Monkeypox,c_1296,Clínica Médica,Consulta
Adenoviral enteritis,c_1298,Infectología,Consulta
Acute cholangitis,c_1303,Clínica Médica,Consulta
Laryngopharyngeal reflux,c_1304,Clínica Médica,Consulta
Allergic reactions to insect bite or sting,c_1305,Clínica Médica,Consulta
Poorly controlled hypertension,c_1306,Cardiología,Consulta
Marine animal injury,c_1308,Traumatología,Consulta
Tick bite,c_1311,Clínica Médica,Consulta
Postpartum blues,c_1315,Clínica Médica,Consulta
Postpartum psychosis,c_1316,Salud Mental,Consulta
Intracranial hematoma,c_1319,Hematología,Consulta
Cholesteatoma,c_1322,Clínica Médica,Consulta
Early Lyme disease,c_1323,Otorrinolaringología,Consulta
Binge eating disorder,c_1325,Salud Mental,Consulta
Late Lyme disease,c_1328,Clínica Médica,Consulta
Dysthymia,c_1335,Clínica Médica,Consulta
Cyclothymic disorder,c_1336,Clínica Médica,Consulta
Respiratory Syncytial Virus infection,c_1337,Neumonología,Urgente
Chronic HIV infection,c_1345,Infectología,Urgente
Trichilemmal cyst,c_1356,Clínica Médica,Consulta
Schizoaffective disorder,c_1357,Clínica Médica,Consulta
Delusional disorder,c_1359,Clínica Médica,Consulta
Acute and transient psychotic disorder,c_1361,Salud Mental,Consulta
Burnout,c_1362,Clínica Médica,Consulta
"Attention deficit hyperactivity disorder, inattentive type",c_1365,Clínica Médica,Consulta
"Attention deficit hyperactivity disorder, hyperactive type",c_1366,Clínica Médica,Consulta
Infantile hypoglycemia,c_1367,Clínica Médica,Consulta
Hemolytic crisis,c_1369,Clínica Médica,Consulta
Night-waking in early childhood,c_1373,Otorrinolaringología,Consulta
Transient tic disorder,c_1376,Clínica Médica,Consulta
Oppositional defiant disorder,c_1381,Clínica Médica,Consulta
Stevens-Johnson syndrome,c_1389,Clínica Médica,Consulta
Second trimester pregnancy,c_1403,Obstetricia,Consulta
Secondary amenorrhea,c_1404,Ginecología,Consulta
First trimester pregnancy,c_1405,Obstetricia,Consulta
Non-specific chest pain,c_1406,Cardiología,Consulta
Foreign body in vulva or vagina,c_1408,Clínica Médica,Consulta
Developmental fears,c_1413,Salud Mental,Consulta
Decreased fetal movements,c_1415,Clínica Médica,Consulta
Cellulitis,c_1421,Clínica Médica,Consulta
Secondary postpartum hemorrhage,c_1425,Clínica Médica,Emergencia
Status epilepticus,c_1426,Clínica Médica,Consulta
Tonic-clonic seizure,c_1427,Neurología,Consulta
Foreign body in anus,c_1430,Clínica Médica,Consulta
Premature rupture of membranes,c_1431,Clínica Médica,Emergencia
Postpartum endometritis,c_1432,Clínica Médica,Consulta
Preterm labour,c_1434,Clínica Médica,Consulta
Paronychia of the fingernail,c_1435,Clínica Médica,Consulta
Acute endometritis,c_1436,Clínica Médica,Consulta
Paronychia of the toenail,c_1438,Clínica Médica,Consulta
Neuroborreliosis,c_1439,Urología,Consulta
Knee contusion,c_1442,Traumatología,Consulta
Contusion of lower leg,c_1443,Traumatología,Consulta
Thoracic radiculopathy,c_1444,Clínica Médica,Consulta
Falls,c_1445,Clínica Médica,Consulta
Lumbosacral radiculopathy,c_1448,Clínica Médica,Consulta
Primary ciliary dyskinesia,c_1452,Dermatología,Consulta
Protracted bacterial bronchitis,c_1453,Neumonología,Consulta
Neck contusion,c_1454,Traumatología,Consulta
Psychological crisis of adolescence,c_1457,Salud Mental,Consulta
Inhalation injury,c_1461,Traumatología,Consulta
Third trimester pregnancy,c_1466,Obstetricia,Consulta
"Depressed mood, unspecified",c_1467,Salud Mental,Consulta
"Elevated mood, unspecified",c_1468,Clínica Médica,Consulta
Severe abdominal trauma,c_1471,Traumatología,Urgente
Severe chest trauma,c_1472,Traumatología,Urgente
Nipple changes due to breastfeeding,c_1476,Clínica Médica,Consulta
Perioral dermatitis,c_1478,Dermatología,Consulta
Hepatitis E,c_1483,Gastroenterología,Consulta
Frostnip,c_1485,Clínica Médica,Consulta
Decompensated cirrhosis of liver,c_1486,Gastroenterología,Consulta
Possibly malignant liver mass,c_1492,Gastroenterología,Consulta
Skin injury,c_1495,Dermatología,Consulta
Hydrocephalus,c_1496,Clínica Médica,Consulta
Hazardous alcohol use,c_1501,Clínica Médica,Consulta
Harmful pattern of use of alcohol,c_1502,Clínica Médica,Consulta
Shingles on the face,c_1503,Clínica Médica,Consulta
Foreign body ingestion,c_1504,Clínica Médica,Consulta
Possibly benign liver mass,c_1510,Gastroenterología,Consulta
Alcoholic hepatitis,c_1512,Gastroenterología,Consulta
Alcohol-associated steatotic liver disease,c_1513,Gastroenterología,Consulta
Alcohol-associated cirrhosis of the liver,c_1514,Gastroenterología,Consulta
Drug-induced liver injury,c_1516,Gastroenterología,Consulta
Gallbladder tumor,c_1518,Urología,Consulta
Hormonal IUD-related complications,c_1521,Clínica Médica,Consulta
Non-hormonal IUD-related complications,c_1522,Clínica Médica,Consulta
Heavy menstrual bleeding,c_1528,Ginecología,Consulta
Avoidant restrictive food intake disorder,c_1538,Clínica Médica,Consulta
Gender dysphoria,c_1539,Clínica Médica,Consulta
Picky eating,c_1540,Clínica Médica,Consulta
Hypoactive sexual desire disorder,c_1546,Clínica Médica,Consulta
Ovarian hyperstimulation syndrome,c_1547,Clínica Médica,Consulta
Compulsive sexual behaviour disorder,c_1548,Clínica Médica,Consulta
Sexual pain disorder,c_1549,Clínica Médica,Consulta
Erectile dysfunction,c_1550,Clínica Médica,Consulta
Osgood-Schlatter disease,c_1551,Clínica Médica,Consulta
Male orgasmic disorder,c_1552,Clínica Médica,Consulta
Female orgasmic disorder,c_1553,Clínica Médica,Consulta
Lochia,c_1555,Clínica Médica,Consulta
Orthorexia nervosa,c_1557,Clínica Médica,Consulta
Retrograde ejaculation,c_1562,Clínica Médica,Consulta
Premature ejaculation,c_1563,Clínica Médica,Consulta
Unspecified feeding or eating disorder,c_1564,Salud Mental,Consulta
Juvenile idiopathic arthritis,c_1565,Reumatología,Consulta
Incomplete induced abortion,c_1566,Clínica Médica,Consulta
Septic abortion,c_1567,Clínica Médica,Consulta
Normal course of abortion,c_1568,Clínica Médica,Consulta
Vaginal bleeding after gynecological procedure,c_1570,Ginecología,Consulta
Vitreous floaters,c_1572,Clínica Médica,Consulta
Eyelid myokymia,c_1574,Oftalmología,Consulta
Benign essential blepharospasm,c_1577,Clínica Médica,Consulta
"Upper limb pain, unspecified",c_1580,Clínica Médica,Consulta
"Lower limb pain, unspecified",c_1581,Clínica Médica,Consulta
Head or neck mass,c_1584,Clínica Médica,Consulta
Abdominal or pelvic mass,c_1585,Clínica Médica,Consulta
Thoracic mass,c_1586,Clínica Médica,Consulta
Complication of chemotherapy,c_1588,Clínica Médica,Consulta
Hypercalcemia of malignancy,c_1589,Clínica Médica,Consulta
Radiation-induced dermatitis,c_1591,Dermatología,Consulta
Actinic keratosis,c_1592,Clínica Médica,Consulta
Lymphadenopathy of unknown origin,c_1593,Clínica Médica,Consulta
Chemotherapy-induced peripheral neuropathy,c_1594,Neurología,Consulta
Acute radiation cystitis,c_1596,Clínica Médica,Consulta
Orbital tumor,c_1598,Clínica Médica,Consulta
Human bite,c_1600,Clínica Médica,Consulta
Postpartum sexual dysfunction,c_1601,Clínica Médica,Consulta
Myometrial tumor,c_1603,Clínica Médica,Consulta
Oral lichenoid reaction,c_1605,Clínica Médica,Consulta
Tumor of pharynx,c_1607,Clínica Médica,Consulta
Upper limb tumor,c_1608,Clínica Médica,Consulta
Lower limb tumor,c_1609,Clínica Médica,Consulta
Tumor of oral cavity,c_1610,Clínica Médica,Consulta
Neuroleptic malignant syndrome,c_1612,Urología,Consulta
Serotonin syndrome,c_1613,Clínica Médica,Consulta
Neutropenic fever,c_1616,Clínica Médica,Consulta
Penile tumor,c_1618,Clínica Médica,Consulta
Tumor of lip,c_1619,Clínica Médica,Consulta
Eyelid injury,c_1620,Oftalmología,Consulta
Subconjunctival haemorrhage,c_1621,Clínica Médica,Consulta
Demodicosis,c_1622,Clínica Médica,Consulta
Cardiac tumor,c_1624,Clínica Médica,Consulta
Alcohol-induced mental and behavioral disorders,c_1626,Salud Mental,Consulta
Postinfectious cough,c_1628,Clínica Médica,Consulta
Prolonged postinfectious cough,c_1629,Clínica Médica,Consulta
Eye burn,c_1630,Oftalmología,Consulta
Severe dehydration,c_1631,Clínica Médica,Urgente
Generalized neoplastic disease,c_1633,Clínica Médica,Consulta
Mediastinal tumor,c_1634,Clínica Médica,Consulta
Cannabinoid-induced mental and behavioral disorders,c_1637,Salud Mental,Consulta
Convergent strabismus,c_1639,Clínica Médica,Consulta
Upper airway cough syndrome,c_1640,Clínica Médica,Consulta
Minor eye injury,c_1641,Oftalmología,Consulta
Serious eye injury,c_1642,Oftalmología,Consulta
Divergent strabismus,c_1645,Clínica Médica,Consulta
Non-asthmatic eosinophilic bronchitis,c_1646,Neumonología,Consulta
Cough caused by airway irritants,c_1658,Clínica Médica,Consulta
Serious overdose of prescribed medication,c_1664,Toxicología,Consulta
"Overdose of prescribed medication, unspecified",c_1665,Toxicología,Consulta
Loose plaster cast,c_1667,Clínica Médica,Consulta
Too tight plaster cast,c_1668,Clínica Médica,Consulta
Cervical tumor,c_1672,Clínica Médica,Consulta
Non-celiac gluten sensitivity,c_1674,Gastroenterología,Consulta
Infection under plaster cast,c_1676,Infectología,Urgente
Plaster cast concerns,c_1677,Clínica Médica,Consulta
